nitrogliserin,"1,2,3-trinitroxypropane; glyceryl trinitrate; nitroglycerin; nitroglycerine; TNG; trinitroglycerin"
etilendiamin,"1,2-diaminoethane; ethylenediamine"
pirokatekol,"1,2-dihydroxybenzene; catechol; pyrocatechol"
mesitilen,"1,3,5-trimethylbenzene; mesitylene"
kırpışma gürültüsü,1/f noise; flicker noise; pink noise
UTM grid karesi,100000 m square; grid square
yüzde bir olasılıklı sel,100-year flood; base flood; hundred year flood
yüzde bir olasılıklı fırtına,100-year storm; hundred year storm
12 D dozu,12-D dose; irradiation sterilizing dose
metil tersiyer bütil eter,1-dimethylethyl ether; methyl 1; methyl tertiary butyl ether; MTBE; tert-butyl methyl ether
bir döngülü çizge,1-tree; unicyclic graph
triko örgü,1x1 lapping; tricot
"yüzde 2,5 span uzunluk",2.5 % span length
20-hidroksiekdison,20-hydroxyecdysone; ß-ecdysone
hidrojen çizgisi,21-centimetre line; H I lin; hydrogen line; neutral hydrogen line
kloropren,"2-chlorobuta-1,3-diene; chloroprene"
laktik asit,2-hydroxypropanoic acid; lactic acid; milk acid
izopren,"2-methyl-1,3 butadiene; isoprene"
trinitrotolüen,"2-methyl-1,3,5-trinitrobenzene; TNT; trinitrotoluene"
izopentan,2-methylbutane; isopentane; methylbutane
ikili bağıntı,2-place relation; binary relation; correspondence; dyadic relation
iki sıralı sarmal diziliş,2-ranked alternate leaf pattern; distichous alternate leaf pattern; leaf pattern
sıralı çift,2-tuples; ordered pair
tuh örgü,2x1 lapping; tuch
yarı güçteki bant genişliği,3 dB bandwidth; half-power bandwidth; three-dB bandwidth
Madden-Julian salınımı,30-to-60-day oscillation; 30-to-60-day wave; intraseasonal oscillation; Madden-Julian oscillation
çok yönlü değerleme sistemi,360-degree feedback; 360 degree evaluation system; full-circle feedback; multi-rater feedback; multi source assessment; multi source feedback
üç boyutlu canlandırma,3D animation; three-dimensional animation
üç boyutlu baskı,3D printing; additive manufacturing
3-boyutlu QSAR,3-D QSAR; three-dimensional QSAR
üç boyutlu geriçatım,3D reconstruction; three-dimensional reconstruction
kodein,3-methylmorphine; codein
asetoasetik asit,3-oxobutanoic acid; acetoacetic acid; diacetic acid
3R ilkesi,"3R principle; reduce, reuse, recycle; three R's"
3R ilkesi,"3R principle; refinement, reduction, replacement; three R's"
satin örgü,3x1 lapping; satin
samt örgü,4x1 lapping; samt
yüzde 50 span uzunluk,50 % span length
binde iki olasılıklı sel,500-year flood; five hundred year flood
guanozin monofosfat,5'-guanidylic acid; guanosine monophosphate; guanylic acid
beş S ilkesi,5S principles
G proteini kenetli alıcı,7TM receptor; G protein-coupled receptor; G protein-linked receptor; GLPR; GPCR; heptahelical receptor; serpentine receptor; seven-(pass)-transmembrane domain receptor
A kromozomu,A chromosome
A sancağı,A flag
A horizonu,A horizon
alakart,à la carte
ardıl olasılık dağılımı,a posteriori distribution; a posteriori probability; a posteriori probability distribution
a priori,a priori
önsel olasılık,a priori probability
A tipi orman yolu,A type forest road
A tayf türü yıldızlar,A type stars
astronomik birim,a.u; astronomical unit
hava yakıt oranı,A/F ratio; air-fuel ratio
A+T/G+C oranı,A+T/G+C ratio
aa indeksi,aa index
aa lavı,aa lava; aphrolith
otoklavlanmış gaz beton,AAC; autoclaved aerated concrete
Aaleniyen,Aalenian
bütün riskler dahil,AAR; against all risks
AASHTO sıkılaştırma deneyi,AASHTO compaction
oluk sistemi,AB control; full-work system; two point control
AB horizonu,AB horizon
ab initio hesaplama,ab initio calculation
AB0 kan grupları sistemi,AB0 blood groups system
abaka lifi,abaca fiber
sayı boncuğu,abacus
terk edilen çağrı,abandoned call
terk edilmiş tesis,abandoned site
terk edilmiş kuyu,abandoned well
terk,abandonment
terk,abandonment
terk,abandonment
siteyi terk oranı,abandonment rate
eksenden uzak yüzey,abaxial surface
eksenden uzak,abaxial; antiaxial
Abbe refraktometresi,Abbe refractometer
hızlı arama,abbreviated dialing; fast select; speed dialing
kısaltma,abbreviation
kısaltma,abbreviation
ABC mal ve değer sınıflandırma yöntemi,ABC inventory classification method; selective inventory control; split inventory system
ABC çiçek gelişim modeli,ABC model of flower development
ATP bağlanma kasedi proteini,ABC protein; ATP binding casette protein
sınıf bazlı depolama,ABC storage policy; class-based storage policy
ABC taşıyıcı proteinler,ABC transport proteins
karın,abdomen
opistozoma,abdomen; opisthosoma
abdüksiyon,abduction
Abel genişlemesi,abelian extension
değişmeli grup,Abelian group
Abell kataloğu,Abell catalogue
Abell yarıçapı,Abell radius
olağandışı sonlanma,abend
astronomik sapınç,aberration of light; aberration of starlight; or velocity aberration; stellar aberration
beceriye dayalı ücret sistemi,ability-based wage system
ödeme gücü,ability-to-pay
kendiliğinden oluş,abiogenesis; spontaneous generation
abiyotik,abiotic
abiyotik aktivasyon,abiotic activation
abiyotik zarar,abiotic damage
abiyotik bozunma,abiotic degradation; non-biological degradation
cansız çevre,abiotic environment
abiyotik etmen,abiotic factor
abiyotik tozlaşma,abiotic pollination
abiyotik stres,abiotic stress
abiyotik dönüşüm,abiotic transformation
abjugal karık,abjugal division; abjugal plane furrow
sütten kesme,ablactation; weaning
ablasyon,ablation
ablasyon bölgesi,ablation zone; zone of ablation
ablasyonlu soğutma,ablative cooling
Abutilon mozaik virüsü,AbMV; Abutilon mosaic virus
anormal işitilebilme bölgesi,abnormal audibility zone; zone of abnormal audibility
anormal sperm oranı,abnormal sperm rate
şirden,abomasum; maw; reed tripe; rennet-bag
yarım bırakma,abort
vazgeçilen iniş,aborted landing; balked landing; rejected landing
vazgeçilen kalkış,aborted takeoff; interrupted takeoff; rejected takeoff
yavru atma,abortion
topraküstü biyokütle,above ground biomass; above-ground phytomass
yol üstü algılayıcı,above-road detector
aböyör,aboyeur; announcer; caller; kitchen clerk
akut arı felci virüsü,ABPV; acute bee paralysis virus
aşınmış cilt,abraded grain
beton çökme deneyi,Abrams' cone test; concrete slump test
Abrams yasası,Abrams' law
aşındırma,abrasion
aşınma,abrasion
aşınma dayanımı,abrasion resistance
aşınmaya dayançlı,abrasion resistant
aşınma testi,abrasion test
aşınma testi,abrasion test; abrasion testing
mekanik abrazyon,abrasion; mechanical abrasion
aşındırıcı,abrasive
sıvı püskürtümlü temizleme,abrasive blast cleaning; liquid blast cleaning
aşındırıcı püskürtü ile temizleme,abrasive blasting
taşlama yanığı,abrasive burn; grinding burn
aşındırma diski,abrasive disk
aşındırmalı imalat,abrasive machining
aşındırıcı kum,abrasive sand
aşınmalı yıpranma,abrasive wear
aşındırıcılık,abrasiveness
bordalama,abreast
kısaltılmış yaşam tablosu,abridged life table
çöl menekşesi,abronia; sand verbenas; wild lantanas
hızlı iklim değişimi,abrupt climate change; rapid climate change; sudden climate change
keskin dokanak,abrupt contact
ani büyüme değişimi,abrupt growth change
kilitlenmeyen fren sistemi,ABS; anti-lock brake system; antilock braking system; wheel antilocking system
absarokit,absarokite
apse,abscess
çıban kusuru,abscess defect
absisik asit,abscisic acid; dormin
apsis,abscissa
yatay koordinat,abscissa
absisyon,abscission
dökülüm,abscission
dökülüm tabakası,abscission layer; separation layer
eksik halka,absent ring; missing ring
ulaşılamayan abone hizmeti,absent subscriber service
mutlak bolluk,absolute abundance
mutlak ivme,absolute acceleration
mutlak adres,absolute address
mutlak yaş,absolute age; absolute date; absolute dating
mutlak alkol,absolute alcohol
mutlak irtifaölçer,absolute altimeter; terrain clearance indicator
mutlak irtifa,absolute altitude
mutlak yıllık sıcaklık aralığı,absolute annual range of temperature
mutlak kerteriz,absolute bearing
mutlak siyah,absolute black; ideal black
mutlak parlaklık,absolute brightness
mutlak tavan,absolute ceiling; critical altitude; critical height; rated altitude
mutlak kod,absolute code; computer code
mutlak konfigürasyon,absolute configuration
mutlak koordinat,absolute coordinate
doğrudan ölçülen veri,absolute data
global jeodezik datum,absolute datum; absolute geodetic datum; geocentric datum; global geodetic datum
mutlak ayrışma,absolute decoupling
mutlak kuraklık,absolute drought
mutlak kuru ağırlık,absolute dry weight
mutlak entropi,absolute entropy
mutlak hata,absolute error
mutlak gözenek derecelendirmesi,absolute filter rating; absolute pore size rating
mutlak uyum değeri,absolute fitness
mutlak yerçekimi ölçüsü,absolute gravity measurement
mutlak nem,absolute humidity; density of water vapor; water vapour concentration
tam adresli köprü,absolute hyperlink
mutlak kararsızlık,absolute instability; absolutely unstable atmosphere; autoconvective instability; mechanical instability
makine dili,absolute language; machine language
mutlak öldürücü derişim,absolute lethal concentration; lethal concentration 100
mutlak öldürücü doz,absolute lethal dose
mutlak sorumluluk,absolute liability
mutlak kadir,absolute magnitude
mutlak minimum,absolute minimum
mutlak toprak nemi,absolute moisture of the soil
mutlak aylık maksimum sıcaklık,absolute monthly maximum temperature
mutlak aylık minimum sıcaklık,absolute monthly minimum temperature
mutlak yöneltme,absolute orientation
tam yolak adı,absolute path name; full pathname
mutlak geçirgenlik,absolute permeability
mutlak konumlandırma,absolute positioning
mutlak basınç,absolute pressure
mutlak saf su,absolute pure water; absolute purity water
kırılım indeksi,absolute refractive index; index of refraction; refractive index
mutlak kararlılık,absolute stability
mutlak standart barometre,absolute standard barometer
